id,name,description,categories,opening_hour,closing_hour,main_dish
0,Fat Brasserie,"Fat meats, clean meats. White, red meat, but also wine, pasta, and mozzarella. We bring the finest ingredients from the boot peninsula",Italian food,10:00 AM,10:00 PM,Chef's Special
1,Spice Pub,"We earned the trust of our vegetarian customers through years of dedication to the art of good, satisfying food using what the earth gives our farmers.",Vegan food,8:00 AM,10:00 PM,Grilled Vegetable Platter
2,Fast Box,"Quick, easy, filling. Stop by us when you are busy, but still need a warm meal that tastes of home.",Fast food,10:00 AM,10:00 PM,Cheeseburger
3,Hungry Bar & Grill,"The smokiest, tastiest grilled meat you'll ever have, yee haw!.",BBQ food,10:00 AM,9:00 PM,Grilled Vegetable Platter
4,Smokestack Juice Bar,"Pizza, pasta and Mandolino are our most loved words!.",Italian food,6:00 AM,10:00 PM,Chef's Special
5,Salty Subs,"Salty Subs was founded by the Richard Biggie in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. We are known for our specialty, the hell sub, with pig meat and the spiciest peppers in the world.",Fast food,10:00 AM,8:00 PM,Avocado Toast
6,The green leaf,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Vegan food,7:00 AM,8:00 PM,Grilled Vegetable Platter
7,English Monsieur,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Fine dining,10:00 AM,11:00 PM,Beef Wellington
8,The cheeser winer,"The best cheese, wine and meat your money can buy in this restaurant that lives and breathes by France's cuisine.",French food,8:00 AM,8:00 PM,Coq au Vin
9,Swell Eatery,Our mission is to provide the best and highest quality fine dining experience money can buy.,Fine dining,9:00 AM,10:00 PM,Beef Wellington
10,Green White and Red Coffee,"The objective is to deliver the best food one of the most beloved countries can offer. We bring the best pizzas, pasta e other specialties from our italian chefs.",Italian food,9:00 AM,8:00 PM,Chef's Special
11,The greasy mafioso,"Mamma mia, the spaghetti at this pizzeria are unbeatable!.",Italian food,9:00 AM,8:00 PM,Chef's Special
12,Sugar Sushi,"Sushi, Sashimi, Onigiri, you name it, we have it.",Japanese food,9:00 AM,10:00 PM,Salmon Sashimi
13,Golden Eatery,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price, nutritional, well-prepared meals using only quality cheese, wine and meat ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",French food,10:00 AM,11:00 PM,Coq au Vin
14,Silver Pizza King,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To provide amazing italian food, with italian vegetables and meat.",Italian food,9:00 AM,10:00 PM,Silver Leaf Pizza
15,Sweeding Tree,We love greenery in our parks and in our bellies. Try our Vegetarian Porkchop and our vegan meatballs.,Vegan food,7:00 AM,10:00 PM,Grilled Vegetable Platter
16,La Belle Cuisine,"A warm, welcoming French bistro where we focus on creating authentic dishes using the finest ingredients. Our signature dish, Coq au Vin, is a reflection of the rich flavors of French cuisine. Experience the best of France, right here with us.",French food,8:00 AM,8:00 PM,Coq au Vin
17,Burger Bliss,"Indulge in a quick, delicious bite at Burger Bliss, where our juicy, greasy burgers bring comfort and satisfaction. Perfect for a fast and tasty meal that’ll leave you craving for more.",Fast food,9:00 AM,8:00 PM,Cheeseburger
18,Yoshinoya's Grill,"Offering hearty, satisfying meals at an unbeatable price, Yoshinoya’s Grill provides a variety of options for a quick and delicious meal. Whether you’re on the go or relaxing, we’re here to provide a wholesome, nutritious meal.",Fast food,6:00 AM,11:00 PM,Cheeseburger
19,Pigeon’s Royal Feast,"Fine dining at its finest. At Pigeon’s Royal Feast, we offer only the best ingredients and dishes, ensuring every meal exceeds expectations. Our Beef Wellington is crafted to perfection for a dining experience unlike any other.",Fine dining,7:00 AM,8:00 PM,Beef Wellington
20,Hokkaido Delights,"Discover the authentic flavors of Japan at Hokkaido Delights, where fresh fish and expert chefs come together to bring you the finest sushi. Let our Chef's Special cut be the highlight of your meal.",Japanese food,7:00 AM,10:00 PM,Chef's Special cut
21,Spoon’s Elegance,"Enjoy an exquisite fine dining experience at Spoon’s Elegance, where breathtaking views meet world-class cuisine. Our signature dish, Beef Wellington, promises to impress even the most discerning diners.",Fine dining,9:00 AM,10:00 PM,Beef Wellington
22,The Eagle’s Nest,"With a commitment to quality and flavor, The Eagle’s Nest offers a fine dining experience with a focus on healthy, delicious dishes. Our Grilled Vegetable Platter is a celebration of fresh, wholesome ingredients.",Fine dining,8:00 AM,9:00 PM,Grilled Vegetable Platter
23,Curry House 184,"Spice up your day with the boldest, most flavorful curry in town. Curry House 184 serves a variety of curries, each one more flavorful and spicy than the last, with our Chef's Special curry taking the spotlight.",Indian food,9:00 AM,11:00 PM,Chef's Special
24,Sunny Brunch Café,"Enjoy a relaxed and delicious brunch at Sunny Brunch Café, where we focus on fresh, light dishes perfect for a leisurely meal. Our Avocado Toast is a fan favorite, offering a healthy yet indulgent start to your day.",Brunch  & Other food,10:00 AM,10:00 PM,Avocado Toast
25,Le Coq Bistro,"A charming French bistro serving authentic French cuisine. Our Coq au Vin is prepared with rich, flavorful ingredients that capture the essence of French cooking. Come for the flavors, stay for the experience.",French food,8:00 AM,10:00 PM,Coq au Vin
26,Brunch & Co.,"Brunch at its finest, where we serve delightful dishes with a twist. Our Avocado Toast is the perfect blend of health and taste to fuel your morning or afternoon.",Brunch  & Other food,7:00 AM,8:00 PM,Avocado Toast
27,Pizza Slice,"A fast food haven where delicious pizza meets a fast-paced lifestyle. Along with our signature Cheeseburger, we serve hot, fresh pizzas ready to satisfy any craving.",Fast food,7:00 AM,8:00 PM,Cheeseburger
28,Veggie Delight,"A vegetarian's paradise where fresh, flavorful ingredients come together for a wholesome meal. Enjoy our Grilled Vegetable Platter, crafted to perfection for those who appreciate healthy eating.",Vegan food,6:00 AM,8:00 PM,Grilled Vegetable Platter
29,Smokey Ribs BBQ,"Savor the finest BBQ steaks and ribs in town, with only the freshest, most flavorful meats on the grill. Come indulge in our hearty BBQ meals, like our tender ribs and juicy steaks.",BBQ food,9:00 AM,10:00 PM,Avocado Toast
30,French Bistro Kitchen,"Indulge in the finest French dishes at French Bistro Kitchen. With our specialty, Coq au Vin, prepared to perfection, we aim to transport you straight to the heart of France with every bite.",French food,6:00 AM,8:00 PM,Coq au Vin
31,The Fine Plate,"Offering a fine dining experience where quality and flavor shine. Our Beef Wellington is the star of the menu, showcasing the perfect blend of rich flavors and tender meat in every bite.",Fine dining,6:00 AM,10:00 PM,Beef Wellington
32,Le Pub Français,"A cozy French pub offering a selection of the finest French dishes. Our Coq au Vin is a customer favorite, prepared with care and served with passion for authentic French cuisine.",French food,6:00 AM,8:00 PM,Coq au Vin
33,Trattoria del Gusto,"Enjoy the tastes of Italy at Trattoria del Gusto, where every dish is made with fresh, high-quality ingredients. Our Chef's Special is a crowd favorite, featuring delicious Italian classics made to perfection.",Italian food,9:00 AM,9:00 PM,Chef's Special
34,Green Plate Café,"A vegetarian-friendly café offering fresh, wholesome dishes. Our Grilled Vegetable Platter is the perfect option for those looking for a delicious and nutritious meal full of flavor.",Vegan food,7:00 AM,11:00 PM,Grilled Vegetable Platter
35,Pasta & More,"Savor Italian flavors in a relaxed, casual setting at Pasta & More. With our Chef's Special taking center stage, each dish is designed to bring you the best of Italian cuisine, prepared with passion and precision.",Italian food,7:00 AM,11:00 PM,Chef's Special
36,Orange Grove Bistro,"A French-inspired bistro where every dish is a masterpiece. Our Coq au Vin is an unforgettable experience, prepared with the finest ingredients and cooked to perfection. A taste of France, with a welcoming atmosphere.",French food,8:00 AM,10:00 PM,Coq au Vin
37,Shaky Coq,"Indulge in delicious French cuisine at Shaky Coq, where every dish is crafted to perfection. Our Coq au Vin is a true French classic that will transport your taste buds to the heart of France.",French food,6:00 AM,9:00 PM,Coq au Vin
38,Café del Gusto,"Enjoy a delightful Italian experience at Café del Gusto. Our Chef's Special showcases the best of Italian cuisine, combining fresh ingredients and authentic flavors for a memorable meal.",Italian food,7:00 AM,11:00 PM,Chef's Special
