id,name,description,categories,opening_hour,closing_hour
0,Fat Brasserie,"SVIs mission is to deliver quality products at affordable prices to our independent retailers, wholesalers and food service partners around the world by providing international procurement, distribution, marketing and supply chain management.",Italian food,10:00 AM,10:00 PM
1,Spice Pub,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Vegetarian,8:00 AM,10:00 PM
2,Fast Box,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Fast food,10:00 AM,10:00 PM
3,Hungry Bar & Grill,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Vegetarian,10:00 AM,9:00 PM
4,Smokestack Juice Bar,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Italian food,6:00 AM,10:00 PM
5,Salty Subs,"Culver’s Restaurant was founded by the Culver family in 1984, which eventually branched out to more than 300 franchised restaurants all over the US. Culver’s is well-known for its ButterBurger, which made the restaurant extremely famous. They also have other items which include salads, sandwiches, desserts, etc.",Brunch,10:00 AM,8:00 PM
6,Fat Bakery,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Vegetarian,7:00 AM,8:00 PM
7,Fat Curry,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Fine dining,10:00 AM,11:00 PM
8,332 Coffee,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",French food,8:00 AM,8:00 PM
9,Belly Brasserie,"Our mission is to be a leader in the distribution and merchandising of food, pharmacy, health and personal care items, seasonal merchandise, and related products and services. We place considerable importance on forging strong supplier partnerships. Our suppliers, large or small, local or global, are essential components in accomplishing our mission.",Fine dining,9:00 AM,10:00 PM
10,Green Coffee,"To deliver an exceptional shopping experience by offering the best service, value, quality, and freshest products while being good stewards of our environment and giving back to the communities we serve.",Italian food,9:00 AM,8:00 PM
11,Fat Sushi,"We earn the loyalty of the people we serve by first anticipating, then fulfilling their needs with our superior-quality products, a unique shopping experience, customer-focused service and continuous innovation, while generating long-term profitable growth for our shareholders.",Italian food,9:00 AM,8:00 PM
12,Sugar Sushi,"Our Mission at Denny’s is to establish beneficial business relationships with diverse suppliers who share our commitment to customer service, quality and competitive pricing.",Fast food,9:00 AM,10:00 PM
13,Golden Eatery,"To ensure that each guest receives prompt, professional, friendly and courteous service. To maintain a clean, comfortable and well maintained premises for our guests and staff. To provide at a fair price – nutritional, well-prepared meals – using only quality ingredients. To ensure that all guests and staff are treated with the respect and dignity they deserve. To thank each guest for the opportunity to serve them. By maintaining these objectives we shall be assured of a fair profit that will allow us to contribute to the community we serve.",French food,10:00 AM,11:00 PM
14,Silver King,"To sell delicious and remarkable food and drinks. That the food and drink we sell meets the highest standards of quality, freshness and seasonality and combines both modern-creative and traditional southern styles of cooking. To consistently provide our customers with impeccable service by demonstrating warmth, graciousness, efficiency, knowledge, professionalism and integrity in our work. To have every customer who comes through our doors leave impressed by Maxie’s and excited to come back again. To create and maintain a restaurant that is comprehensive and exceptional in its attention to every detail of operation. To provide all who work with us a friendly, cooperative and rewarding environment which encourages long- term, satisfying, growth employment. To keep our concept fresh, exciting and on the cutting edge of the hospitality and entertainment industry. To be a giving member of the Ithaca community and to use our restaurant to improve the quality of life in the Finger Lakes region.",Italian food,9:00 AM,10:00 PM
15,Silver Box,"Delhaize Group will achieve leading positions in food retailing in key mature and emerging markets. We accomplish our goal by developing strong regional companies benefiting from and contributing to the Groups strength, expertise and successful practices. Delhaize Group goes to market with a variety of food store formats. The Group is committed to offer a locally differentiated shopping experience to its customers in each of its markets, to deliver superior value and to maintain high social, environmental and ethical standards.",Vegetarian,7:00 AM,10:00 PM
16,Sweet Coffee,"Our mission has been to help people achieve their health and wellness goals. though weve changed over the years, our values have remained the same.",French food,8:00 AM,8:00 PM
17,Spice Kitchen,To provide an exceptional dining experience that satisfies our guests’ grown-up tastes by being a Cut-Above in everything we do.,Fast food,9:00 AM,8:00 PM
18,Hungry Gastropub,"Yoshinoya is in business to create the structure and systems needed to allow our customers access to the majority of their away-from-home daily meal requirements on a one-stop-shop basis. All our products shall be of the highest quality and value, be healthy, nutritious and provided with outstanding personal services at the lowest possible prices consistent with a fair return on investment for our shareholders, job enhancementsecurity for our employees and a level of community involvement by everyone connected with our business. All of our products and services shall be delivered consistently and measured one satisfied customer at a time, whether by company-owned or franchised operations, in superior, clean, convenient, fun and friendly neighborhood environments. We pledge to make Yoshinoya the best place to eat and the best place to work.",Fast food,6:00 AM,11:00 PM
19,Fat Grill,We are committed to using the finest ingredients in our recipes. No food leaves our kitchen that we ourselves would not eat.,Fine dining,7:00 AM,8:00 PM
